Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRX23958A89,,20231201,ABWEB01,Alberta Online Store 01,SKU8CD35465,"22,48","22,48",,1,"82,95"
TRX277D2579,,20231201,ABWEB01,Alberta Online Store 01,SKU9C048CA2,"13,48","13,48",,1,"80,38"
TRX7FEED6F4,,20231201,ABWEB01,Alberta Online Store 01,SKU99779286,5,5,,1,"148,47"
TRXD7BBAE69,,20231201,ABWEB01,Alberta Online Store 01,SKUF00EA70D,"7,19","7,19",,1,"35,95"
TRXAD19F8F8,,20231201,ABWEB01,Alberta Online Store 01,SKU871147A0,"39,96","39,96",,1,"87,88"
TRX66886E72,,20231201,ABWEB01,Alberta Online Store 01,SKUB048F157,"17,48","17,48",,1,"83,45"
TRX69071714,,20231201,ABWEB01,Alberta Online Store 01,SKUDEF7AE39,14,14,,1,"125,99"
TRXAE0B67C8,,20231201,ABWEB01,Alberta Online Store 01,SKU36811A85,"22,48","22,48",,1,"86,94"
TRXCC6D2655,,20231201,ABWEB01,Alberta Online Store 01,SKU5FA530B4,"7,19","7,19",,1,"35,95"
TRX74DFD26B,,20231201,ABWEB01,Alberta Online Store 01,SKU93E4D881,"35,96","35,96",,1,"67,92"
TRXAEDAA2E5,,20231201,ABWEB01,Alberta Online Store 01,SKU56A68DD5,"17,48","17,48",,1,"82,44"
TRX2ADCBB78,CUSTD7482F41,20231201,AB088,AB Store 088 - Airdrie,,"9,95","5,16",PROMOA15EE2E3,1,"32,9"
TRX3683C943,CUST71121367,20231201,AB097,AB Store 097 - Chestermere,SKU1067A0E5,"27,99","13,99",PROMOA34667FA,1,"133,94"
TRX01054963,,20231201,AB096,AB Store 096 - Camrose,,"2,95","2,95",,1,"94,37"
TRX1AF89F56,,20231201,AB012,AB Store 012 - Fort McMurray,,"49,95","49,95",,1,"137,8"
TRX015CDF92,,20231201,ABWEB01,Alberta Online Store 01,SKU0EE78083,19,19,,1,53
TRXBBE0A850,,20231201,ABWEB01,Alberta Online Store 01,SKUD8AD2218,"17,48","17,48",,1,"76,4"
TRX64B1DBD2,,20231201,ABWEB01,Alberta Online Store 01,SKU901E15B2,"23,99","23,99",,2,"128,91"
TRX1370C3AC,,20231201,ABWEB01,Alberta Online Store 01,SKUFB22FB9A,5,5,,1,"54,95"
TRX3B1BD8F8,,20231201,ABWEB01,Alberta Online Store 01,SKU6B069AE0,10,10,,1,"34,99"
TRX5E141C47,CUST698585E2,20231201,AB015,AB Store 015 - Brooks,,"6,95","6,95",,1,"97,75"
TRX2066D9B7,,20231201,AB099,AB Store 099 - Sherwood Park,SKUA4C5F6E4,"11,95","7,19",PROMO8A254670,1,"135,85"
TRX705C5AA0,,20231201,ABWEB01,Alberta Online Store 01,,"7,19","7,19",,1,"35,95"
TRX0FA331A7,CUST22B7F8E5,20231201,AB048,AB Store 048 - Airdrie,SKU748A44C0,"24,95","24,95",,1,"49,9"
TRX3031235A,,20231201,AB007,AB Store 007 - Grande Prairie,SKU7BBA9381,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRX764002C5,,20231201,AB101,AB Store 101 - Calgary,SKU0D2D53AF,"11,95","3,33",PROMO6EBF2B4B,1,"112,94"
TRX66B22031,,20231201,AB085,AB Store 085 - St. Albert,,"1,95","1,95",,1,"31,95"
TRX4465B3C3,,20231201,AB088,AB Store 088 - Airdrie,,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRX536E935D,CUST07AE0616,20231201,AB004,AB Store 004 - Lethbridge,SKU4A07A4A8,"9,95","5,16",PROMOA15EE2E3,1,"95,8"
TRXC15A5E48,,20231201,ABWEB01,Alberta Online Store 01,,"5,16","5,16",,1,"66,91"
TRX67D3C59D,CUST8C005BE4,20231201,AB019,AB Store 019 - Sherwood Park,SKU982486CE,"-8,93","-8,93",,-1,"-262,59"
TRXC41735B4,CUSTB60B796A,20231201,ABWEB01,Alberta Online Store 01,SKUE55C7CE2,"17,5","17,5",,1,"156,69"
TRX32C58391,,20231201,ABWEB01,Alberta Online Store 01,SKU60299AB7,"22,48","22,48",,1,"138,92"
TRX20115A7C,,20231201,ABWEB01,Alberta Online Store 01,SKU4B20654D,"19,98","19,98",,1,"133,34"
TRX016DEC8A,CUST25E6409C,20231201,AB004,AB Store 004 - Lethbridge,SKUCEC88FEB,"59,95","44,96",PROMO4CC6E50B,1,"47,91"
TRX0BE6B41F,,20231201,ABWEB01,Alberta Online Store 01,SKUA844773F,"22,48","22,48",,1,"22,48"
TRXE6CF8FD8,,20231201,ABWEB01,Alberta Online Store 01,,"33,71","33,71",,1,"134,84"
TRXD2426B1B,,20231201,ABWEB01,Alberta Online Store 01,SKU46B3F46D,"24,95","24,95",,1,"24,95"
TRX10AB0E7B,,20231201,ABWEB01,Alberta Online Store 01,SKU5BA41E8E,"17,5","17,5",,1,"128,5"
TRXA6B270E0,,20231201,ABWEB01,Alberta Online Store 01,SKU9F2F3281,"39,95","39,95",,1,"39,95"
TRXA2081543,CUST35A00E93,20231201,AB097,AB Store 097 - Chestermere,,"49,95","49,95",,1,"135,85"
TRXF453DF18,,20231201,ABWEB01,Alberta Online Store 01,SKUAAF06052,"29,95","29,95",,1,"54,9"
TRX26890360,CUST01429D01,20231201,AB048,AB Store 048 - Airdrie,,"11,95","7,19",PROMO8A254670,1,"37,9"
TRX2A95E2F9,,20231201,ABWEB01,Alberta Online Store 01,SKUC3E3F5F6,"14,98","14,98",,1,"34,97"
TRX1416CB0E,,20231201,ABWEB01,Alberta Online Store 01,SKUD1690B3D,"24,99","24,99",,1,"148,93"
TRX5BD56327,CUSTB7946F2B,20231201,AB097,AB Store 097 - Chestermere,,"9,95","5,16",PROMOA15EE2E3,1,"115,87"
TRX787C7452,,20231202,ABWEB01,Alberta Online Store 01,SKUF0F8B1B7,"19,78","19,78",,1,"92,95"
TRXFD619B0B,,20231202,AB099,AB Store 099 - Sherwood Park,SKUDD1F9B7C,"11,95","7,19",PROMO8A254670,1,"93,85"
TRX90DF1439,CUST5DF745F5,20231202,AB048,AB Store 048 - Airdrie,,"1,95","1,95",,1,"54,41"
TRX7BADF9E7,,20231202,AB092,AB Store 092 - Fort McMurray,SKUE68E0FCB,"-18,72","-18,72",,-1,"-86,15"
TRXC45262A5,CUSTA9F9F152,20231202,AB078,AB Store 078 - Lloydminster,SKUBA12A2A7,"59,95","59,95",,1,"248,6"
TRX815E41A3,,20231202,ABWEB01,Alberta Online Store 01,SKUF3E171EB,"14,98","14,98",,1,"90,89"
TRXBA2A8A67,,20231202,ABWEB01,Alberta Online Store 01,SKU06A746CA,"18,21","18,21",,1,"65,99"
TRX1B43A037,,20231202,AB042,AB Store 042 - Edmonton,SKU86601333,"27,99","27,99",,1,"27,99"
TRXD99CFC29,CUST3C5F64AB,20231202,AB012,AB Store 012 - Fort McMurray,,"9,95","5,16",PROMOA15EE2E3,1,"32,9"
TRXC2D0F9CE,,20231202,AB077,AB Store 077 - Chestermere,,"11,95","7,19",PROMO8A254670,1,"35,95"
TRX3100952F,CUST91499E63,20231202,AB039,AB Store 039 - Sherwood Park,SKU4E5AD13C,"29,95","29,95",,1,"31,9"
TRXF0850DFE,,20231202,AB052,AB Store 052 - Fort McMurray,SKU05E395C3,"29,98","29,98",,1,"29,98"
TRXAFD2183E,,20231202,ABWEB01,Alberta Online Store 01,SKU9A5FB0E5,19,19,,1,"93,98"
TRX004E97DF,,20231202,ABWEB01,Alberta Online Store 01,SKU137EC076,"27,99","27,99",,1,"92,93"
TRX925CDF8C,,20231202,AB097,AB Store 097 - Chestermere,SKU89F68E30,"20,99","10,49",PROMOA34667FA,1,"290,19"
TRX72539FCF,,20231202,AB046,AB Store 046 - Medicine Hat,,"9,95","5,16",PROMOA15EE2E3,1,"150,65"
TRX13BCA8BB,,20231202,AB077,AB Store 077 - Chestermere,SKUA93B5126,"24,95","24,95",,1,"278,13"
TRXFA1D9BA0,,20231202,AB093,AB Store 093 - Banff,SKU6A63FB28,"12,99","6,49",PROMOA34667FA,1,"61,96"
TRX337F73EC,,20231202,ABWEB01,Alberta Online Store 01,SKU436A50A8,"29,98","29,98",,1,"59,96"
TRX1D968F50,CUSTFA1EE1F3,20231202,AB012,AB Store 012 - Fort McMurray,,"35,96","35,96",,1,"45,96"
