Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRXBFC9920A,CUST76D5EA2D,20230301,AB009,AB Store 009 - Spruce Grove,SKU4D3B9A73,"9,95","5,16",PROMOA15EE2E3,1,"96,89"
TRXBC3E484C,,20230301,AB038,AB Store 038 - Lloydminster,SKU49510773,"19,95","7,29",PROMOB6CE2007,1,"58,9"
TRXF197F2FC,,20230301,ABWEB01,Alberta Online Store 01,SKUD3657884,"34,99","34,99",,1,"87,97"
TRX1D1A53F4,CUSTD5C57006,20230301,AB017,AB Store 017 - Chestermere,SKU81CAA33A,"26,95","8,98",PROMOB6CE2007,1,"26,95"
TRX2D82E1E5,,20230301,ABWEB01,Alberta Online Store 01,SKU7305DC5D,"16,99","16,99",,1,"205,39"
TRX78681E35,,20230301,AB078,AB Store 078 - Lloydminster,SKU936EA5C1,"21,99","10,99",PROMOA34667FA,1,"370,31"
TRX32D0B588,,20230301,ABWEB01,Alberta Online Store 01,SKU68E7C600,"31,99","31,99",,1,"62,98"
TRX811758E6,,20230301,AB083,AB Store 083 - Red Deer,SKU8B3835AE,"27,99","27,99",,1,"69,98"
TRX8C4F966E,,20230301,AB011,AB Store 011 - Okotoks,SKU579846D6,"26,95","8,98",PROMOB6CE2007,1,"105,8"
TRX4A5BD772,,20230301,ABWEB01,Alberta Online Store 01,SKU75EC1C01,"7,19","7,19",,1,"35,95"
TRXBB1A1537,,20230301,AB028,AB Store 028 - Airdrie,SKUA3D63672,"24,95","8,31",PROMOB6CE2007,1,"24,95"
TRX450F8A29,,20230301,AB021,AB Store 021 - Calgary,SKU2592D8F2,"11,95","7,19",PROMO8A254670,1,"35,95"
TRX8ECF05E7,,20230301,AB092,AB Store 092 - Fort McMurray,SKU74D27F58,"27,99",14,PROMOA34667FA,1,"100,96"
TRX5A1F5BED,,20230301,AB107,AB Store 107 - Grande Prairie,SKU682F84DF,"11,95","11,95",,1,"258,4"
TRX9F65F866,,20230301,AB001,AB Store 001 - Calgary,,"11,95","7,19",PROMO8A254670,1,"75,9"
TRX2E7B5C3A,,20230301,ABWEB01,Alberta Online Store 01,SKUB761F204,"12,59","12,59",,1,"128,21"
TRXC910589C,,20230301,AB013,AB Store 013 - Banff,SKU951B7A90,"26,95","10,11",PROMOB6CE2007,1,"80,85"
TRXAA3A6098,CUST7F85457B,20230301,AB055,AB Store 055 - Brooks,SKU0E073245,"19,95","7,13",PROMOB6CE2007,1,"60,89"
TRXA6E621FF,,20230301,AB077,AB Store 077 - Chestermere,SKU396693B4,"14,99","13,49",PROMOBE12C94D,1,"45,45"
TRXD7ACD95B,,20230301,AB016,AB Store 016 - Camrose,SKU731ACB5F,"11,95","7,19",PROMO8A254670,1,"35,95"
TRXB2667A58,,20230301,ABWEB01,Alberta Online Store 01,SKUE9CED3D9,"39,95","39,95",,1,"84,02"
TRX2D82E1E5,,20230301,ABWEB01,Alberta Online Store 01,SKUA6DC2273,"21,99","21,99",,1,"205,39"
TRX1CDE25B0,,20230301,AB107,AB Store 107 - Grande Prairie,SKUA1410AD2,"35,95","35,95",,1,"80,44"
TRX26E97ECF,,20230301,ABWEB01,Alberta Online Store 01,SKU805DF022,"24,49","24,49",,1,"115,45"
TRX8EE33436,CUST8B5BD6E5,20230301,AB042,AB Store 042 - Edmonton,,"37,95","37,95",,1,"75,9"
TRXC03A4F7F,CUST9F953C7A,20230301,AB102,AB Store 102 - Edmonton,SKU0C48C981,"5,99","3,01",PROMOA34667FA,1,"11,98"
TRX05C70704,CUST2F1DC1C3,20230301,AB028,AB Store 028 - Airdrie,SKUAAF017CA,"13,99","13,99",,1,"24,98"
TRX71912CD1,,20230301,ABWEB01,Alberta Online Store 01,SKUCF38CA7A,"41,99","41,99",,1,"138,96"
TRX9A1748FD,,20230301,AB105,AB Store 105 - St. Albert,SKU1A821DBA,"9,95","9,95",,1,"82,88"
TRX25ECB714,CUSTF8731057,20230301,AB107,AB Store 107 - Grande Prairie,,"14,99","7,51",PROMOA34667FA,1,"289,26"
TRXEA7A6EB7,,20230301,AB027,AB Store 027 - Grande Prairie,SKU10351403,"29,95","22,46",PROMOC07FAA79,1,"106,82"
TRX5C6AF6FD,,20230301,ABWEB01,Alberta Online Store 01,SKU68C61B05,"22,49","22,49",,1,"195,63"
TRX691BF38A,,20230301,ABWEB01,Alberta Online Store 01,,"7,19","7,19",,1,"35,95"
TRXE9BEBF5C,,20230302,AB104,AB Store 104 - Lethbridge,SKUF76BE853,"39,95","39,95",,1,"120,85"
TRX5E26A691,,20230302,AB016,AB Store 016 - Camrose,,"44,95","44,95",,1,"151,8"
TRXEB951025,,20230302,AB004,AB Store 004 - Lethbridge,SKU4698413D,"24,95","24,95",,1,"135,75"
TRX0215F0F4,,20230302,AB002,AB Store 002 - Edmonton,SKU85D1DF85,"35,95","35,95",,1,"127,85"
TRX067F3168,,20230302,AB012,AB Store 012 - Fort McMurray,SKU6E2D0118,"21,99",11,PROMO55D9511E,1,"41,98"
TRXD6095676,,20230302,AB092,AB Store 092 - Fort McMurray,SKU37857296,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRX240D9D6C,,20230302,AB026,AB Store 026 - Medicine Hat,SKU0AB579ED,"11,95","7,19",PROMO8A254670,1,"62,9"
TRX8E0D7F2C,,20230302,AB026,AB Store 026 - Medicine Hat,SKU55FC4A57,"11,95","7,19",PROMO8A254670,1,"35,95"
TRXE9C8FCC6,CUSTCCBE2D29,20230302,AB004,AB Store 004 - Lethbridge,SKUE6494380,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRX6311305E,,20230302,ABWEB01,Alberta Online Store 01,SKUAC1667BB,"27,99","27,99",,1,"52,98"
TRXE4C203C8,,20230302,AB038,AB Store 038 - Lloydminster,SKU4D394815,"9,95","5,15",PROMOA15EE2E3,1,"30,95"
TRXDB33932C,,20230302,AB081,AB Store 081 - Calgary,SKU19EB28C9,"9,95","5,16",PROMOA15EE2E3,1,"156,8"
TRX8D758406,,20230302,AB012,AB Store 012 - Fort McMurray,SKU64C851F5,"26,95","9,42",PROMOB6CE2007,1,"28,95"
TRX4E03A362,CUSTE81CA4B2,20230302,AB035,AB Store 035 - Brooks,,12,12,,1,"170,59"
TRX3360A009,,20230302,AB085,AB Store 085 - St. Albert,SKU1167A12F,"11,95","3,18",PROMO6EBF2B4B,1,"79,95"
TRX34109C8D,,20230302,AB083,AB Store 083 - Red Deer,SKUC3BFFADA,"10,99","10,99",,1,"311,71"
TRX976BD1E6,,20230302,AB016,AB Store 016 - Camrose,,"11,95","7,19",PROMO8A254670,1,"147,85"
TRXEA8865CB,,20230302,AB097,AB Store 097 - Chestermere,SKUE9449621,"9,95","2,78",PROMO6EBF2B4B,1,30
TRX77B84A01,,20230302,AB078,AB Store 078 - Lloydminster,SKUCD5DFEEC,"23,99","23,99",,1,"261,76"
TRXE51527AB,CUSTDBFE8FDE,20230302,AB092,AB Store 092 - Fort McMurray,SKU02697630,"34,99","34,99",,1,"75,97"
