Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRX8DDE7723,,20230401,AB077,AB Store 077 - Chestermere,SKU986A6499,"20,99","10,49",PROMOA34667FA,1,"122,91"
TRX78664F63,,20230401,AB003,AB Store 003 - Red Deer,SKU0C39B1FE,"11,95","7,19",PROMO8A254670,1,"99,85"
TRX7A32B89C,,20230401,AB038,AB Store 038 - Lloydminster,SKU84743678,"24,95","9,04",PROMOB6CE2007,1,"53,9"
TRXE4DCD39C,,20230401,AB100,AB Store 100 - Wetaskiwin,SKU9403124F,"29,95","29,95",,1,"174,76"
TRX114EF9B7,CUSTB463C402,20230401,AB012,AB Store 012 - Fort McMurray,SKUBC08477C,"11,95","7,19",PROMO8A254670,1,"35,95"
TRX486D2042,,20230401,AB099,AB Store 099 - Sherwood Park,SKU1182459D,"9,95","2,58",PROMO6EBF2B4B,1,"136,89"
TRXC04CCA5D,,20230401,ABWEB01,Alberta Online Store 01,SKU74F1FDA3,10,10,,1,"138,45"
TRX2D4167DB,CUST90183541,20230401,AB009,AB Store 009 - Spruce Grove,,"44,95","44,95",,1,"80,9"
TRX4306344F,,20230401,ABWEB01,Alberta Online Store 01,SKU8647A4D1,"11,5","11,5",,1,"90,47"
TRX47F0B474,,20230401,AB021,AB Store 021 - Calgary,,"44,95","44,95",,1,"44,95"
TRX2EE44E1E,,20230401,AB027,AB Store 027 - Grande Prairie,,"7,19","7,19",,1,"-23,8"
TRX2D2925CA,,20230401,AB092,AB Store 092 - Fort McMurray,SKU7A841ACF,"34,99","14,99",PROMO366D6919,1,"64,97"
TRX874DBA82,,20230401,AB037,AB Store 037 - Chestermere,SKUBDE6A101,"-32,95","-32,95",,-1,3
TRXC9FBB066,,20230401,AB097,AB Store 097 - Chestermere,SKU3D5876AC,"24,99","12,49",PROMOA34667FA,1,"23,99"
TRXFAFEE519,,20230401,AB028,AB Store 028 - Airdrie,,"11,95","7,19",PROMO8A254670,1,"100,9"
TRX1BE4B537,,20230401,AB026,AB Store 026 - Medicine Hat,,"39,95","39,95",,1,"89,9"
TRX327CA51E,CUSTA9E06B79,20230401,AB039,AB Store 039 - Sherwood Park,SKU0C2248C7,"29,95","29,95",,1,"191,74"
TRXECA44806,CUST5F6339C7,20230401,AB087,AB Store 087 - Grande Prairie,SKUD02C98EB,"25,99","9,99",PROMOD460B936,1,"43,96"
TRX59B8612E,CUST7E828020,20230401,AB105,AB Store 105 - St. Albert,SKU77310B89,"15,99","7,99",PROMOA34667FA,1,"97,91"
TRXABF5EF5F,,20230401,AB086,AB Store 086 - Medicine Hat,,"9,95","5,15",PROMOA15EE2E3,1,"30,95"
TRXF8CFD0F1,CUSTA8A4399D,20230401,AB039,AB Store 039 - Sherwood Park,SKU3C59B8E1,"29,95","29,95",,1,"233,68"
TRXC2804964,,20230401,AB046,AB Store 046 - Medicine Hat,,"11,95","7,19",PROMO8A254670,1,"287,65"
TRX5CA15ACE,,20230401,AB099,AB Store 099 - Sherwood Park,SKU97E965F2,"34,99","34,99",,1,"144,9"
TRX38BDD0C3,,20230401,AB081,AB Store 081 - Calgary,SKUDDEB45A6,"11,95","3,53",PROMO6EBF2B4B,1,"64,44"
TRXBB562254,,20230401,AB084,AB Store 084 - Lethbridge,SKU98FC2772,"27,99",14,PROMOA34667FA,1,"27,99"
TRXE5D94F8A,,20230401,AB003,AB Store 003 - Red Deer,,"49,95","39,96",PROMO76AA6400,1,"159,84"
TRX5B15B47D,,20230401,AB013,AB Store 013 - Banff,,"11,95","7,19",PROMO8A254670,1,"106,82"
TRXCF63A6EF,,20230401,AB092,AB Store 092 - Fort McMurray,SKUA70E42CD,"9,99","5,99",PROMO16814278,1,"76,42"
TRXCBA1ADB6,,20230402,AB107,AB Store 107 - Grande Prairie,SKU571EE04F,"14,99","7,49",PROMOA34667FA,1,"155,35"
TRX6E804651,,20230402,AB009,AB Store 009 - Spruce Grove,SKUD2BFD934,"11,95","7,19",PROMO8A254670,1,"210,79"
TRX1A4BDDC2,,20230402,AB103,AB Store 103 - Red Deer,SKU84743678,"24,95","8,42",PROMOB6CE2007,1,"51,9"
TRXCBC46816,,20230402,AB046,AB Store 046 - Medicine Hat,SKU69F48CD8,"19,99","19,99",,1,"77,9"
TRXB4576216,CUST89A835C5,20230402,AB011,AB Store 011 - Okotoks,,"9,95","5,15",PROMOA15EE2E3,1,"80,9"
TRXE087BEB0,,20230402,AB097,AB Store 097 - Chestermere,SKU9D0CF793,"19,99","9,99",PROMOA34667FA,1,"75,46"
TRX599073EC,,20230402,AB105,AB Store 105 - St. Albert,SKUD6790ECE,"20,99","10,49",PROMOA34667FA,1,"52,45"
TRXC391163E,CUST5E620E4B,20230402,AB094,AB Store 094 - Canmore,SKU7251CFCF,3,"2,4",PROMO2E4CE708,1,"90,97"
TRXB141DB0D,,20230402,AB048,AB Store 048 - Airdrie,,"24,95","12,48",,1,"24,95"
TRX72FB1865,,20230402,AB095,AB Store 095 - Brooks,SKUBF29556F,"14,99","7,51",PROMOA34667FA,1,"53,97"
TRXA6439F54,,20230402,AB099,AB Store 099 - Sherwood Park,SKU0DBE3BB8,"-10,63","-10,63",,-1,"-25,41"
TRXBDC2188B,,20230402,AB046,AB Store 046 - Medicine Hat,,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRXABA67534,,20230402,ABWEB01,Alberta Online Store 01,,"29,95","29,95",,1,"116,81"
TRXC549F3D7,CUSTA70FC1AA,20230402,AB087,AB Store 087 - Grande Prairie,SKU96E4685A,"44,95","44,95",,1,"44,95"
TRX50DD4459,,20230402,ABWEB01,Alberta Online Store 01,SKUB412216A,"14,99","14,99",,1,"20,98"
TRXDF2D47FA,,20230402,AB100,AB Store 100 - Wetaskiwin,SKU9EF79FE0,"22,48","22,48",,1,"180,34"
TRXB35E1C27,,20230402,AB023,AB Store 023 - Red Deer,SKU2F220F20,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRX1299FB9F,,20230402,ABWEB01,Alberta Online Store 01,SKUEFB4F1E6,"22,5","22,5",,1,"54,99"
TRX7A731C43,,20230402,AB031,AB Store 031 - Okotoks,,"9,95","5,16",PROMOA15EE2E3,1,"85,85"
TRX67843468,,20230402,AB080,AB Store 080 - Wetaskiwin,SKUB2089CC1,"26,95","9,45",PROMOB6CE2007,1,"132,37"
TRXB2E246B9,,20230402,AB056,AB Store 056 - Camrose,SKUF27EC45B,"-35,95","-35,95",,-1,"79,9"
TRX1AB0B19C,,20230402,AB003,AB Store 003 - Red Deer,SKU4088B317,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRXBFFAB374,,20230402,AB004,AB Store 004 - Lethbridge,SKU0CAEE066,"11,95","7,19",PROMO8A254670,1,"73,9"
TRXD1485136,,20230402,AB105,AB Store 105 - St. Albert,SKUE7276AA6,"9,95","5,16",PROMOA15EE2E3,1,"110,85"
