Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRX6D0CDF81,,20230501,AB080,AB Store 080 - Wetaskiwin,SKU7BA6DD6A,"34,99","17,49",PROMOA34667FA,1,"174,92"
TRXCDD078CC,,20230501,AB038,AB Store 038 - Lloydminster,,"20,99","20,99",,1,"59,96"
TRX1ED265A7,CUST2BC714D9,20230501,AB084,AB Store 084 - Lethbridge,SKU67A07E03,"-42,95","-42,95",,-1,"-122,85"
TRX7C56C9FD,CUSTA2ED680B,20230501,AB105,AB Store 105 - St. Albert,,"11,95","7,19",PROMO8A254670,1,"324,67"
TRXA0B375F4,,20230501,AB085,AB Store 085 - St. Albert,,"44,95","33,71",PROMOC07FAA79,1,"98,37"
TRXCBF637D3,,20230501,AB081,AB Store 081 - Calgary,,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRXCC1F739F,,20230501,AB048,AB Store 048 - Airdrie,SKU2B49D78F,"11,95","7,19",PROMO8A254670,1,"160,77"
TRX46AD44EF,,20230501,ABWEB01,Alberta Online Store 01,SKUA4422C02,"11,65","11,65",,1,"92,23"
TRXCF9ECCCC,,20230501,AB026,AB Store 026 - Medicine Hat,,"34,95","34,95",,1,"149,75"
TRX433A25EA,,20230501,ABWEB01,Alberta Online Store 01,SKUB78A9C45,"22,95","22,95",,1,"60,09"
TRX5C3A285C,CUSTAC4EFCB5,20230501,AB048,AB Store 048 - Airdrie,SKU032EAE63,"24,95","11,82",PROMOFCB09735,1,"190,8"
TRXCBBFBC8C,,20230501,ABWEB01,Alberta Online Store 01,SKU314B85A2,"30,95","30,95",,1,"30,95"
TRX18615200,,20230501,AB087,AB Store 087 - Grande Prairie,SKU0DCB3931,"42,95","42,95",,1,"410,5"
TRXD868A194,,20230501,AB078,AB Store 078 - Lloydminster,SKUC2B5DE78,"11,95","3,22",PROMO6EBF2B4B,1,"138,46"
TRXA01FB07B,,20230501,ABWEB01,Alberta Online Store 01,SKU6FEA4D5B,"71,9","71,9",,2,"83,85"
