Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRX34E8DC56,,20230801,AB101,AB Store 101 - Calgary,SKUCE8773D8,"30,99","15,49",PROMOA34667FA,1,"247,73"
TRXFFDB4BD4,,20230801,ABWEB01,Alberta Online Store 01,SKU0A401EDB,"14,99","14,99",,1,"29,98"
TRX68F29CF6,CUST7ACBFAB2,20230801,AB078,AB Store 078 - Lloydminster,SKU1C2CFAF7,"9,95","1,6",PROMO7F0C6EA7,1,16
TRX9B816F10,,20230801,ABWEB01,Alberta Online Store 01,SKUA2B9F75B,"19,95","19,95",,1,"100,8"
TRXCD627B85,,20230801,ABWEB01,Alberta Online Store 01,SKU097DE661,10,10,,1,40
TRX4BF5FB64,,20230801,AB084,AB Store 084 - Lethbridge,SKUD3F1ECFA,"9,95","1,6",PROMO7F0C6EA7,1,16
TRX8B84540C,,20230801,AB087,AB Store 087 - Grande Prairie,SKUEF81BDCE,"-16,99","-16,99",,-1,"-16,99"
TRX81219BF8,,20230801,ABWEB01,Alberta Online Store 01,SKU01F26B2E,"20,99","20,99",,1,"40,99"
TRX18D66631,,20230801,ABWEB01,Alberta Online Store 01,SKU28A018A3,"44,95","44,95",,1,"116,81"
TRX3E2F0128,,20230801,AB017,AB Store 017 - Chestermere,SKUC3A246BE,"24,95","8,53",PROMOB6CE2007,1,"26,95"
TRX6D1F216C,,20230801,AB077,AB Store 077 - Chestermere,,"39,95","39,95",,1,"236,68"
TRXC96A3F54,,20230801,AB012,AB Store 012 - Fort McMurray,,"39,95","39,95",,1,"39,95"
TRX42540BE5,,20230801,AB011,AB Store 011 - Okotoks,,"5,98","5,98",,1,"76,72"
TRXF1B1EF1A,CUST470AFBDA,20230801,AB031,AB Store 031 - Okotoks,SKU2ED5BF1C,"22,95","7,96",PROMOB6CE2007,1,"51,9"
TRX578B89FF,,20230801,ABWEB01,Alberta Online Store 01,SKU0C612F0F,10,10,,1,30
TRX09EAE9D3,,20230801,ABWEB01,Alberta Online Store 01,SKU80BDD209,30,30,,3,60
TRX2A60A276,,20230801,AB046,AB Store 046 - Medicine Hat,SKUDEAE52D1,"9,95","5,16",PROMOA15EE2E3,1,"93,92"
TRXE38F0998,,20230801,AB077,AB Store 077 - Chestermere,SKUD8AD2218,"34,95","23,3",PROMO97F1FFA2,1,"92,85"
TRX5DDCEC4C,,20230801,ABWEB01,Alberta Online Store 01,SKU45B612E2,"30,99","30,99",,1,"139,95"
TRX1C82587E,,20230801,AB077,AB Store 077 - Chestermere,SKUED1DBCB6,"29,95","29,95",,1,"59,9"
TRXD0A66206,,20230801,AB047,AB Store 047 - Grande Prairie,,"11,95","7,19",PROMO8A254670,1,"66,9"
TRXA6D605B2,,20230801,AB077,AB Store 077 - Chestermere,SKU7416704C,"11,95","1,81",PROMO7F0C6EA7,1,"50,98"
TRX641687EE,,20230801,ABWEB01,Alberta Online Store 01,SKU233A0AC0,"24,99","24,99",,1,"120,92"
TRX6700D3F0,,20230801,AB099,AB Store 099 - Sherwood Park,SKUDE91DCC4,"11,95","1,81",PROMO7F0C6EA7,1,"40,95"
TRXA3E73759,,20230801,AB003,AB Store 003 - Red Deer,,"24,95","12,47",,1,"667,33"
TRX14F48A91,,20230801,ABWEB01,Alberta Online Store 01,SKUD797EE8F,10,10,,1,10
TRXCFF5C3D8,CUSTBE25BE71,20230801,AB028,AB Store 028 - Airdrie,,"11,95","7,19",PROMO8A254670,1,"35,95"
TRXC943E1C7,CUSTFD99F51D,20230801,AB047,AB Store 047 - Grande Prairie,SKUA6BFC284,"26,95","8,99",PROMOB6CE2007,1,"160,4"
TRX615D5122,,20230801,ABWEB01,Alberta Online Store 01,SKU0C612F0F,10,10,,1,30
TRX86695536,,20230801,ABWEB01,Alberta Online Store 01,SKU80BDD209,20,20,,2,30
TRX0EB2399B,,20230801,AB077,AB Store 077 - Chestermere,SKUF193FCC7,"9,95","1,6",PROMO7F0C6EA7,1,"105,83"
TRX8912BF80,,20230801,ABWEB01,Alberta Online Store 01,SKUD797EE8F,10,10,,1,30
TRXF05DA8AE,,20230801,ABWEB01,Alberta Online Store 01,SKUAE36CF2C,"39,95","39,95",,1,"246,6"
TRXCF61AA76,,20230801,ABWEB01,Alberta Online Store 01,SKUD0AB6AF1,"39,95","39,95",,1,"59,95"
TRX05B6DD8D,CUSTED841ECA,20230801,AB044,AB Store 044 - Lethbridge,SKU5E694C11,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRXA1966901,,20230801,ABWEB01,Alberta Online Store 01,SKU8A56F6CC,20,20,,2,30
TRX61B30412,,20230801,ABWEB01,Alberta Online Store 01,SKUC672006C,10,10,,1,40
TRX313F2C0C,,20230801,AB044,AB Store 044 - Lethbridge,SKU11532B48,"9,95","5,16",PROMOA15EE2E3,1,"57,9"
