Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRX4404B350,CUST05A3EC60,20230102,AB055,AB Store 055 - Brooks,SKU3C92C1A8,"9,95","5,16",PROMOA15EE2E3,1,"83,89"
TRX68A71A5C,,20230102,AB055,AB Store 055 - Brooks,SKU62B45254,"9,95","5,16",PROMOA15EE2E3,1,"58,94"
TRX8A594D4C,,20230102,ABWEB01,Alberta Online Store 01,SKU23571C66,"22,48","22,48",,1,"104,92"
TRX4270D16E,,20230102,AB078,AB Store 078 - Lloydminster,SKUBFB9DAA0,"9,95","2,94",PROMO6EBF2B4B,1,"39,99"
TRXF7B8AB73,,20230102,ABWEB01,Alberta Online Store 01,SKU2DD40B12,"29,39","29,39",,2,"73,47"
TRXE98406DD,,20230102,AB016,AB Store 016 - Camrose,SKU4C4735EE,"30,99","30,99",,1,"67,93"
TRX76D7FEC3,,20230102,AB039,AB Store 039 - Sherwood Park,SKUB50047AE,"32,95","32,95",,1,"135,8"
TRX44368AED,,20230102,AB104,AB Store 104 - Lethbridge,,6,6,,1,"804,52"
TRX80A542CC,,20230102,AB080,AB Store 080 - Wetaskiwin,SKU7D800361,"9,95","2,95",PROMO6EBF2B4B,1,"51,99"
TRX32009FED,,20230102,ABWEB01,Alberta Online Store 01,SKU7E45C0D3,"13,48","13,48",,1,"108,92"
TRXED3E3E0E,,20230102,ABWEB01,Alberta Online Store 01,SKUD6974DC6,"22,48","22,48",,1,"134,88"
TRXCF92B056,,20230102,AB107,AB Store 107 - Grande Prairie,SKUE64C20C4,"37,95","37,95",,1,"86,93"
TRX062C6199,CUSTD6B29768,20230102,AB095,AB Store 095 - Brooks,,"12,5","12,5",,1,"146,87"
TRX2088A6D3,CUST3B71FF15,20230102,AB001,AB Store 001 - Calgary,SKU6C9BFC76,"7,19","7,19",,1,"130,8"
TRX58FB0090,,20230102,AB001,AB Store 001 - Calgary,SKU2B87BE6D,"14,99","14,99",,1,"73,96"
TRX3AF55FB4,,20230102,AB055,AB Store 055 - Brooks,,"11,95","7,19",PROMO8A254670,1,"225,6"
TRX2B7CE0DD,CUST08488217,20230102,AB001,AB Store 001 - Calgary,,"9,95","5,16",PROMOA15EE2E3,1,"30,95"
TRX7537AD5A,,20230102,AB044,AB Store 044 - Lethbridge,,"7,19","7,19",,1,"35,95"
TRX0075C88C,,20230102,AB101,AB Store 101 - Calgary,SKU98709234,"7,99",4,PROMOA34667FA,1,"8,99"
TRX77504BAE,CUST506AAC7E,20230102,AB001,AB Store 001 - Calgary,,"49,95","49,95",,1,"104,9"
TRXB6964072,CUST28CD0AB5,20230102,AB017,AB Store 017 - Chestermere,SKU20CF9269,"11,99","11,99",,1,"71,96"
TRXB354B32D,CUSTBDEC3A16,20230102,AB087,AB Store 087 - Grande Prairie,SKUE7466D7F,"29,95","29,95",,1,"70,39"
TRXAA0129BE,,20230102,ABWEB01,Alberta Online Store 01,SKUCDABFB09,"5,59","5,59",,1,"94,56"
