Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRXD353CFFB,,20230901,AB046,AB Store 046 - Medicine Hat,SKU36D04952,"7,99","7,99",,1,"15,98"
TRXDA200E97,,20230901,AB097,AB Store 097 - Chestermere,SKU6D79BFEF,"12,99","12,99",,1,"12,99"
TRX3D353049,,20230901,AB017,AB Store 017 - Chestermere,SKUF3909779,"16,99","16,99",,1,"84,93"
TRXD4F5FC95,,20230901,AB039,AB Store 039 - Sherwood Park,SKU3B213D95,"44,95","22,47",PROMOC77842F0,1,"19,95"
TRX78F41149,,20230901,AB080,AB Store 080 - Wetaskiwin,SKU30D65650,"9,95","1,96",PROMO9005DE1A,1,20
TRX1CA1176B,CUSTFBE0E350,20230901,AB015,AB Store 015 - Brooks,SKUA4B3F0B6,"11,95","7,19",PROMO8A254670,1,"35,95"
TRX4747841E,,20230901,AB004,AB Store 004 - Lethbridge,,"9,95","5,16",PROMOA15EE2E3,1,"208,75"
TRXCE08EEB5,CUSTA3DE7B98,20230901,AB077,AB Store 077 - Chestermere,,2,2,,1,"56,97"
TRX6209DAB7,,20230901,AB016,AB Store 016 - Camrose,SKU0DDCE107,"11,95","11,95",,1,"67,9"
TRX4B799E94,,20230901,AB083,AB Store 083 - Red Deer,SKU23EDA342,"9,95","5,16",PROMOA15EE2E3,1,"228,77"
TRXE81EFA2F,,20230901,AB101,AB Store 101 - Calgary,SKU0C2248C7,"20,99","20,99",,1,"48,98"
TRX1637E079,,20230901,AB025,AB Store 025 - St. Albert,SKUD9B27046,"5,98","5,98",,1,"48,44"
TRXDAC02B0C,CUSTA1909EEC,20230901,AB085,AB Store 085 - St. Albert,SKU13B42B51,"11,95","7,19",PROMO8A254670,1,"107,85"
TRX1146FD5C,,20230901,AB047,AB Store 047 - Grande Prairie,SKUE716FBB5,"11,95","11,95",,1,"47,8"
TRX8067DD51,,20230901,ABWEB01,Alberta Online Store 01,SKUB5B4D183,"64,95","64,95",,1,"64,95"
TRXFCD07B3E,,20230901,AB102,AB Store 102 - Edmonton,SKU8566DB0B,"29,95","29,95",,1,"64,89"
TRXEEA47FFF,,20230901,AB047,AB Store 047 - Grande Prairie,SKU4906E157,"44,95","44,95",,1,"350,95"
TRX94628CD3,,20230901,AB086,AB Store 086 - Medicine Hat,SKU6BD9D8EB,"3,99","3,99",,1,"31,92"
TRXA7FFF96A,,20230901,AB009,AB Store 009 - Spruce Grove,SKUA163A457,"6,99","6,99",,1,"6,99"
TRX1EA6D6F7,,20230901,AB016,AB Store 016 - Camrose,SKU0CD17D06,"14,95","7,48",,1,"134,84"
TRX4E42BDB6,,20230901,AB035,AB Store 035 - Brooks,,"29,95","29,95",,1,"157,83"
