Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRX2A875E3B,,20230601,AB003,AB Store 003 - Red Deer,,"22,95","12,28",,1,"113,85"
TRX10BBFE51,,20230601,AB081,AB Store 081 - Calgary,SKU6D68B798,"27,99","13,99",PROMOA34667FA,1,"25,98"
TRXC102BC91,CUST0CA7D9D7,20230601,AB105,AB Store 105 - St. Albert,SKU5B5A02D3,"34,99","17,51",PROMOA34667FA,1,"156,93"
TRXD281EBF5,,20230601,ABWEB01,Alberta Online Store 01,SKU6C6AFE83,"8,99","8,99",,1,"80,88"
TRXA2925BB3,,20230601,AB015,AB Store 015 - Brooks,SKUCC715A69,"39,95","19,95",PROMO26D94AED,1,"104,82"
TRXD0F8AAEF,,20230601,AB093,AB Store 093 - Banff,SKU0CB7F937,"24,95","9,95",PROMOA1E07931,1,"144,75"
TRX55036D16,,20230601,AB048,AB Store 048 - Airdrie,SKU2EF4402C,"6,99","6,99",,1,"45,96"
TRX178E6E29,,20230601,AB087,AB Store 087 - Grande Prairie,SKUE039E29C,"9,95","1,97",PROMO9005DE1A,1,"405,42"
TRX8CF6017A,,20230601,AB038,AB Store 038 - Lloydminster,SKUA5EFAE56,"34,95","34,95",,1,"70,9"
TRX0F67B069,CUSTDDCC990F,20230601,AB021,AB Store 021 - Calgary,,"29,95","22,46",PROMOC07FAA79,1,"75,87"
TRX26F16882,CUST96FCD7C9,20230601,AB009,AB Store 009 - Spruce Grove,SKU6DB4BF2E,"9,95","5,15",PROMOA15EE2E3,1,"180,65"
TRXB8A577E4,,20230601,AB048,AB Store 048 - Airdrie,,"19,95","9,97",,1,"55,9"
TRXD09405E1,,20230601,AB019,AB Store 019 - Sherwood Park,SKU805E24C8,"42,95","42,95",,1,"301,67"
TRX591335D3,,20230601,AB013,AB Store 013 - Banff,SKUE8670633,"24,95","9,95",PROMOA1E07931,1,"9,95"
TRXCF12ED65,,20230601,AB048,AB Store 048 - Airdrie,,"11,95","7,19",PROMO8A254670,1,"35,95"
TRX27643537,,20230601,AB085,AB Store 085 - St. Albert,SKUA358F4A5,"20,99","10,49",PROMOA34667FA,1,"70,92"
TRX975B2FB6,,20230601,AB092,AB Store 092 - Fort McMurray,SKUF4CB9498,"23,99","11,99",PROMOA34667FA,1,"70,48"
TRX682AED04,CUSTA736109E,20230601,AB083,AB Store 083 - Red Deer,SKUA581F554,"35,95","35,95",,1,"113,84"
