Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRX1D2461CC,,20230201,ABWEB01,Alberta Online Store 01,,"7,19","7,19",,1,"66,91"
TRX6BEC89A6,,20230201,ABWEB01,Alberta Online Store 01,SKUCF10277D,"14,38","14,38",,2,"71,9"
TRXE6A9B82E,,20230201,ABWEB01,Alberta Online Store 01,SKUE7487C11,"-59,95","-59,95",,-1,"-139,85"
TRX7D6DB48B,,20230201,ABWEB01,Alberta Online Store 01,SKU767610F2,"11,99","11,99",,1,"57,97"
TRXD5B19A76,,20230201,AB012,AB Store 012 - Fort McMurray,SKU132D4355,"-49,95","-49,95",,-1,"-164,8"
TRXA43683F2,CUSTA42451D3,20230201,AB107,AB Store 107 - Grande Prairie,SKUB73408E3,"10,99","10,99",,1,"54,96"
TRXECC57F3A,CUST431D6FB0,20230201,AB105,AB Store 105 - St. Albert,SKUF693CE29,"-16,49","-16,49",,-1,"-73,46"
TRX1CB14783,CUSTA97624CF,20230201,AB103,AB Store 103 - Red Deer,SKUA77585B4,"19,99","10,02",PROMOA34667FA,1,"75,19"
TRX028CFFF9,,20230201,ABWEB01,Alberta Online Store 01,,"5,16","5,16",,1,"30,96"
TRX389AA2DB,,20230201,ABWEB01,Alberta Online Store 01,SKU27FEA54E,"14,99","14,99",,1,"243,89"
TRXF7889610,,20230201,ABWEB01,Alberta Online Store 01,,13,13,,1,"124,85"
TRXF57524C3,,20230201,ABWEB01,Alberta Online Store 01,,"44,96","44,96",,1,"89,92"
TRXB11DB93E,CUST79859034,20230201,AB078,AB Store 078 - Lloydminster,SKU3E80A45C,"11,95","7,19",PROMO8A254670,1,"66,9"
TRXF3E23702,,20230201,ABWEB01,Alberta Online Store 01,SKUD5F00F18,"35,95","35,95",,1,"144,8"
TRX4FDF173A,,20230201,AB107,AB Store 107 - Grande Prairie,SKU2C8F6073,"30,99","15,49",PROMOA34667FA,1,"209,43"
TRX7133E2A9,,20230201,AB003,AB Store 003 - Red Deer,SKU92EEDB4A,"32,95","32,95",,1,"88,9"
TRXAA9D9D52,,20230201,AB026,AB Store 026 - Medicine Hat,SKUBAC5FF01,"39,95","39,95",,1,"237,65"
TRXD733281A,,20230201,ABWEB01,Alberta Online Store 01,SKUA319FF0A,"5,16","5,16",,1,"61,75"
