Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRXC252B14A,,20231114,ABWEB01,Alberta Online Store 01,SKUFEB27B92,"17,5","17,5",,1,"68,5"
TRX1C20C38F,,20231114,AB083,AB Store 083 - Red Deer,SKU9DCB03C4,"9,99","4,99",PROMOA34667FA,1,"261,59"
TRXEA06B030,,20231114,ABWEB01,Alberta Online Store 01,SKU31305473,"16,95","16,95",,1,"76,9"
TRX2CADDE7E,,20231114,ABWEB01,Alberta Online Store 01,SKU008B0427,"50,38","50,38",,2,"109,21"
TRX9D478346,,20231114,ABWEB01,Alberta Online Store 01,SKU2628D534,"19,99","19,99",,1,"193,94"
TRX999CDBEA,,20231114,ABWEB01,Alberta Online Store 01,,"5,16","5,16",,1,"30,96"
TRX2BBA2C59,,20231114,ABWEB01,Alberta Online Store 01,SKU956D315F,"24,99","24,99",,1,"84,93"
TRXAC2DAC07,,20231114,ABWEB01,Alberta Online Store 01,SKUDB04567A,10,10,,1,"102,98"
TRXCB2E7F43,CUSTC3B34340,20231114,AB078,AB Store 078 - Lloydminster,SKUDC51F263,"39,95","39,95",,1,"76,85"
TRX8CB0D604,,20231114,ABWEB01,Alberta Online Store 01,SKU51A252FF,"12,5","12,5",,1,83
TRX823F4964,,20231114,ABWEB01,Alberta Online Store 01,SKU4B82FFD6,16,16,,1,"44,5"
TRX41E77FAA,CUSTF8CF1156,20231114,AB104,AB Store 104 - Lethbridge,SKUB59F66E1,"9,95",3,PROMO6EBF2B4B,1,30
TRX5C0F84FA,,20231114,ABWEB01,Alberta Online Store 01,SKUF0B2BF6D,"15,99","15,99",,1,"126,92"
TRXBDCBC15E,,20231114,AB087,AB Store 087 - Grande Prairie,,"34,95","26,21",PROMOC07FAA79,1,0
TRX95844DB3,,20231114,AB105,AB Store 105 - St. Albert,,"25,95","25,95",,1,"244,75"
TRXED193EB1,,20231114,ABWEB01,Alberta Online Store 01,SKU982486CE,"16,95","16,95",,1,"109,8"
TRXF2F3B7F4,,20231114,ABWEB01,Alberta Online Store 01,SKU26C9C469,9,9,,1,"136,12"
TRXE2168D6C,,20231114,ABWEB01,Alberta Online Store 01,SKUAC0F1A18,"14,99","14,99",,1,"27,98"
TRX61B0B8AD,,20231114,AB101,AB Store 101 - Calgary,SKU08CCD14B,"44,95","22,95",PROMO6DB3660D,1,"8,9"
