Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRXF8DD01D3,CUST68CE986D,20230701,AB031,AB Store 031 - Okotoks,SKU5B866595,"34,95","34,95",,1,"34,95"
TRXF75CBAB5,,20230701,AB031,AB Store 031 - Okotoks,SKUBE2B1B8E,"17,98","17,98",,1,"133,84"
TRX80163384,CUST7C4B1473,20230701,AB031,AB Store 031 - Okotoks,,"11,95","7,19",PROMO8A254670,1,"68,89"
TRXBCB405AC,CUST04E404C8,20230702,AB092,AB Store 092 - Fort McMurray,SKUFCAA656A,"29,99","14,99",PROMOA34667FA,1,"64,96"
TRX74CFCE42,CUSTFA165B4A,20230702,AB083,AB Store 083 - Red Deer,,"49,95","49,95",,1,"390,55"
TRX7A197A85,,20230702,AB081,AB Store 081 - Calgary,SKUB28984BB,"-27,96","-27,96",,-1,"-45,42"
TRX432A879A,,20230702,AB078,AB Store 078 - Lloydminster,,"9,95","5,16",PROMOA15EE2E3,1,"41,93"
TRX5198E019,,20230702,AB078,AB Store 078 - Lloydminster,SKUB0E0E211,"29,95","29,95",,1,"129,35"
TRXD68978D9,,20230702,AB086,AB Store 086 - Medicine Hat,SKU4449157E,"39,95","39,95",,1,"102,86"
TRX679319A9,,20230702,AB048,AB Store 048 - Airdrie,SKUA9D32995,"11,95","11,95",,1,"375,35"
TRX7BAEC1D8,,20230702,AB081,AB Store 081 - Calgary,SKU5D741873,"29,95","29,95",,1,"79,9"
TRX16F7AB99,,20230702,AB027,AB Store 027 - Grande Prairie,,"9,95","5,15",PROMOA15EE2E3,1,"102,85"
TRX22EBA0AB,,20230702,AB092,AB Store 092 - Fort McMurray,SKU63A6BC8E,"11,95","1,78",PROMO7F0C6EA7,1,"75,98"
TRX919677BA,,20230702,AB085,AB Store 085 - St. Albert,SKU8944A681,"38,99","38,99",,1,"154,45"
TRX06F90652,,20230702,AB105,AB Store 105 - St. Albert,SKUF5D64ED9,"11,95","1,71",PROMO7F0C6EA7,1,"80,47"
