SKU,EAN,Saison,Couleur - Code,Couleur - Nom,Taille du produit,Style - Description FR,Catégorie - Code,Catégorie,Sous-catégorie - Code,Sous-catégorie,Sous-classe - Code,Sous-classe
SKUF693CE29,EANF693CE29,22F,P00172,BLACK SNOWFLAKE,S,Style_1280,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU291EF902,EAN291EF902,22F,P00172,BLACK SNOWFLAKE,M,Style_1281,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUD187A428,EAND187A428,22F,P00173,GREY SNOWFLAKE,M,Style_1282,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU270928FC,EAN270928FC,22F,P00173,GREY SNOWFLAKE,XXL,Style_1283,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUD76F90DE,EAND76F90DE,22F,P00177,CHARCOAL LVER NORDIC,M,Style_1284,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU7D97B910,EAN7D97B910,22F,P00177,CHARCOAL LVER NORDIC,L,Style_1285,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU25F848C1,EAN25F848C1,22F,P00177,CHARCOAL LVER NORDIC,XXL,Style_1286,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUB3AEBFE9,EANB3AEBFE9,22F,P10180,RED LVER NORDIC,S,Style_1287,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU82B78B09,EAN82B78B09,22F,P10180,RED LVER NORDIC,M,Style_1288,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU70B86FA0,EAN70B86FA0,22F,P10180,RED LVER NORDIC,L,Style_1289,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU8DC6A97B,EAN8DC6A97B,22F,P40171,DITSY NAVY PLAID,XS,Style_1290,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU068DC373,EAN068DC373,22F,P40171,DITSY NAVY PLAID,M,Style_1291,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUBCF183B0,EANBCF183B0,22F,P40172,BLUE LVER NORDIC,S,Style_1292,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU6C4EC3FE,EAN6C4EC3FE,22F,P40172,BLUE LVER NORDIC,M,Style_1293,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUA3638E7C,EANA3638E7C,22F,P40172,BLUE LVER NORDIC,L,Style_1294,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU594A3EB5,EAN594A3EB5,22F,P40172,BLUE LVER NORDIC,XL,Style_1295,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUD6974DC6,EAND6974DC6,22F,P60158,DITSY RED PLAID,M,Style_1296,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU1AFB6F7B,EAN1AFB6F7B,22F,P60158,DITSY RED PLAID,L,Style_1297,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU230B8866,EAN230B8866,22F,P60166,DITSY PINK PLAID,M,Style_1298,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUC8138C43,EANC8138C43,22F,P60166,DITSY PINK PLAID,L,Style_1299,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUE23D7AE8,EANE23D7AE8,22F,P00174,SKATING DOG FLANNEL,XL,Style_1300,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU3801F8DA,EAN3801F8DA,22F,P10182,CAR STRIPE FLANNEL,M,Style_1301,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU5B20FBB5,EAN5B20FBB5,22F,P10182,CAR STRIPE FLANNEL,L,Style_1302,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUB62D3A19,EANB62D3A19,22F,P10182,CAR STRIPE FLANNEL,XXL,Style_1303,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUA3CABE6B,EANA3CABE6B,22F,P10183,BEAR AND CAT FLANNEL,S,Style_1304,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKU3992B89F,EAN3992B89F,22F,P10183,BEAR AND CAT FLANNEL,M,Style_1305,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
SKUDA1D8E87,EANDA1D8E87,22F,P10183,BEAR AND CAT FLANNEL,L,Style_1306,Catégorie_007,Catégorie_007,Sous-catégorie_027,Sous-catégorie_027,Sous-classe_025,Sous-classe_025
